material_id,formula,e_above_hull,formation_energy_per_atom
mp-10,{'As': 1.0},0.1074050600000005,0.1074050600000005
mp-10000,"{'S': 1.0, 'Hf': 2.0}",0.0,-1.2533515846874994
mp-10004,"{'P': 1.0, 'Mo': 3.0}",0.0,-0.33936794202381115
mp-10010,"{'Al': 1.0, 'Si': 2.0, 'Co': 2.0}",0.0,-0.5368349879999996
mp-10021,{'Ga': 1.0},0.004781309999999817,0.004781309999999817
mp-10047,"{'Ca': 5.0, 'As': 3.0}",0.0,-1.1128758825
mp-10059,"{'Zr': 1.0, 'Co': 3.0, 'B': 2.0}",0.004609849444444869,-0.5556063747222216
mp-10062,"{'Nb': 1.0, 'Cu': 2.0, 'Nd': 1.0, 'O': 8.0, 'Ba': 2.0}",0.004648612857115708,-2.6877799232142854
mp-10074,"{'Se': 2.0, 'Ge': 1.0}",0.016192764999999554,-0.2538318740624999
mp-10093,"{'Nb': 1.0, 'Yb': 1.0, 'O': 6.0, 'Sr': 2.0}",0.019021672166680936,-3.1943578652500006
mp-10096,"{'Na': 3.0, 'P': 4.0, 'Ga': 1.0, 'Sr': 3.0}",0.0,-0.7857782238528146
mp-10101,"{'Cs': 1.0, 'C': 2.0, 'Ag': 1.0}",0.3796201412500002,0.3513423743750001
mp-10105,"{'Te': 1.0, 'U': 1.0, 'As': 1.0}",0.034778428333333444,-0.6489893066666662
mp-10113,"{'Sc': 1.0, 'Ir': 3.0, 'B': 1.0}",0.0,-0.6423984633333333
mp-10114,"{'Sc': 1.0, 'Ir': 3.0, 'B': 4.0}",0.0,-0.5750232933333344
mp-10118,"{'Mn': 3.0, 'B': 4.0}",0.041907493333328105,-0.402741908686371
mp-10128,"{'Th': 1.0, 'Ge': 2.0}",0.10112255166666896,-0.5253469949999996
mp-10133,"{'Sc': 3.0, 'Pb': 1.0, 'B': 1.0}",0.0,-0.5221738793333329
mp-10161,"{'Zn': 1.0, 'K': 1.0, 'Sb': 1.0}",0.010079351666667955,-0.3962020533333333
mp-10166,"{'Se': 2.0, 'Na': 1.0, 'Al': 1.0}",0.016204965312499375,-1.0193790692968752
mp-10180,"{'Pd': 1.0, 'Li': 2.0, 'Sb': 1.0}",0.0,-0.6630052074999995
mp-10182,"{'Zn': 1.0, 'P': 1.0, 'Li': 1.0}",0.0,-0.5512273326984124
mp-1019,"{'Y': 1.0, 'Ni': 2.0}",0.0,-0.41839839499999937
mp-10198,"{'Pd': 1.0, 'Mn': 3.0, 'N': 1.0}",0.019860467999999187,-0.3056856173035854
mp-1020,"{'Ta': 1.0, 'Rh': 3.0}",0.0,-0.6143486449999997
mp-10203,"{'Ta': 5.0, 'Si': 3.0}",0.11024672499999788,-0.5058170031250011
mp-10204,"{'Se': 1.0, 'Mn': 1.0}",0.011671609999999609,-0.3485416524865297
mp-10207,{'Np': 1.0},0.4537009062500008,0.4537009062500008
mp-10213,"{'Y': 1.0, 'Ge': 2.0}",0.11286504388889007,-0.5255816149999996
mp-10214,"{'Y': 2.0, 'Ge': 1.0, 'Rh': 3.0}",0.0,-0.8827704675000009
mp-10232,"{'Se': 2.0, 'Na': 1.0, 'Mn': 1.0}",0.09496426187500084,-0.5416701008917029
mp-10233,"{'F': 1.0, 'Ca': 2.0, 'N': 2.0, 'B': 1.0}",0.0,-2.094522377102777
mp-10254,"{'Ir': 1.0, 'O': 4.0, 'Sr': 2.0}",0.034842307857140035,-2.3395255935714294
mp-10256,"{'Te': 1.0, 'V': 1.0}",0.14482896499999853,-0.16655413500000016
mp-10257,{'Ni': 1.0},0.023336225000000432,0.023336225000000432
mp-10259,"{'Zr': 1.0, 'P': 2.0, 'Ni': 2.0}",0.09131751688888023,-0.8433477372380956
mp-10261,"{'Ni': 2.0, 'Sb': 1.0, 'Ti': 1.0}",0.10056074145833273,-0.3532065616666662
mp-10283,"{'Sm': 1.0, 'Si': 3.0, 'Ni': 1.0}",0.0,-0.6789777150000006
mp-10288,"{'S': 1.0, 'Te': 1.0, 'La': 1.0, 'Cu': 1.0}",0.0,-1.4705131422656257
mp-10299,"{'Pd': 1.0, 'Ca': 4.0, 'O': 6.0}",0.0,-2.690843881136365
mp-10321,"{'La': 2.0, 'Zn': 1.0, 'Rh': 1.0, 'O': 6.0}",0.0,-2.680055297749999
mp-10322,"{'Hf': 1.0, 'Ba': 1.0, 'N': 2.0}",0.0,-1.5322106886900002
mp-10326,"{'Zn': 1.0, 'Re': 2.0, 'O': 8.0}",0.0,-2.1202736372727258
mp-1033,"{'Be': 1.0, 'Ni': 1.0}",0.0,-0.4674919150000001
mp-10334,"{'Pr': 1.0, 'Cd': 3.0, 'P': 3.0}",0.005438806785714068,-0.4839131656122448
mp-10335,"{'Te': 1.0, 'Ba': 2.0, 'O': 6.0, 'Cu': 1.0}",0.020589706000000874,-2.16780233175
mp-10339,"{'Nb': 1.0, 'O': 3.0, 'Sr': 1.0}",0.007507359166655902,-3.1951209217500014
