composition,gfa
Al,False
Al(NiB)2,True
Al10Co21B19,True
Al10Co23B17,True
Al10Co27B13,True
Al10Co29B11,False
Al10Co31B9,False
Al10Co33B7,False
Al10Cr3Si7,True
Al10Fe23B17,True
Al10Fe27B13,True
Al10Fe31B9,True
Al10Fe33B7,True
Al10Ni23B17,True
Al10Ni27B13,True
Al10Ni29B11,True
Al10Ni31B9,True
Al10Ni33B7,False
Al10V3Ge7,False
Al11(CrSi2)3,True
Al11(VGe2)3,True
Al11Cr2Si7,True
Al11Cr4Si5,False
Al11Cr5Si4,False
Al11V2Cu7,True
Al11V2Ge7,True
Al11V4Ge5,False
Al12Co21B17,True
Al12Co25B13,True
Al12Co27B11,False
Al12Cr3Si5,True
Al12Cr5Si3,False
Al12CrSi7,False
Al12Ni25B13,True
Al12Ni27B11,False
Al12Ni29B9,False
Al12Ni31B7,False
Al12V3Cu5,False
Al12V3Ge5,True
Al12VCu7,False
Al12VGe7,False
Al13Cr2Si5,True
Al13Cr3Si4,False
Al13Cr4Ge3,False
Al13Cr4Si3,False
Al13Cr5Si2,False
Al13Fe3Ni4,False
Al13Fe4Cu3,True
Al13Ni6Mo,True
Al13Si4Ni3,True
Al13V2Cu5,True
Al13V2Ge5,True
Al13V3Cu4,True
Al13V3Ge4,False
Al13V4Cu3,False
Al13VCu6,True
Al13VGe6,False
Al14(CrSi)3,False
Al14(FeNi)3,True
Al14(Ni7B5)3,False
Al14(SiNi)3,True
Al14Cr5Si,False
Al14CrSi5,False
Al14Ni25B11,False
Al14Ni5Mo,True
Al14VCu5,False
Al14VGe5,False
Al15Co2Si3,True
Al15Cr2Si3,False
Al15Cr3Si2,False
Al15Cr4Si,False
Al15CrSi4,False
Al15Ni3Mo2,True
Al15Ni4Mo,True
Al15V2Cu3,True
Al15V2Ge3,False
Al15V3Cu2,False
Al15VCu4,True
Al16CrSi3,False
Al16Ni3Mo,True
Al16V3Cu,False
Al16VCu3,True
Al17Co2Ni,False
Al17CoNi2,False
Al17Cr2Si,False
Al17Cr3,False
Al17CrSi2,False
Al17FeNi2,False
Al17Ni2Mo,True
Al17V2Cu,True
Al18CoNi,False
Al18CrSi,False
Al18FeCu,True
Al18FeNi,False
Al19Cr5Ge26,True
Al2(Co11B5)3,True
Al2(Co13B3)3,True
Al2(Fe13B3)3,True
Al2(Ni11B5)3,True
Al2(Ni13B3)3,True
Al2(Ni9B7)3,True
Al21(CoNi)2,False
Al21(FeNi)2,True
Al21Co5Ge24,True
Al21Cr4,False
Al21Fe5Ge24,True
Al21FeCo3,False
Al21FeNi3,False
Al22Co2Ni,False
Al22Co3,False
Al22CoNi2,True
Al22Cr3,False
Al22Fe2Co,False
Al22Fe2Ni,False
Al22Fe3,False
Al22FeCo2,False
Al22FeNi2,False
Al22Ni3,False
Al23Co2,False
Al23CoNi,False
Al23Cr2,False
Al23Fe2,False
Al23FeCo,False
Al23FeNi,False
Al23Ni2,False
Al24Co,False
Al24Cr,False
Al24Fe,False
Al24Ni,False
Al26Cr5Si19,True
Al26V5Ge19,True
Al27Mo23,True
Al29Cr10Si11,False
Al2Co31B17,True
Al2Co35B13,True
Al2Co37B11,True
Al2Co41B7,False
Al2Co43B5,False
Al2Co5B3,True
Al2Co7B,False
Al2Cu3,False
Al2Fe37B11,True
Al2Fe41B7,True
Al2Fe43B5,False
Al2Fe5B3,True
Al2Ni29B19,True
Al2Ni31B17,True
Al2Ni35B13,True
Al2Ni37B11,True
Al2Ni5B3,True
Al2VGe,False
Al30Cr9Si11,False
Al32Ni5Ge13,True
Al33Mo17,True
Al33Si12Ni5,True
Al34(Si7Mo15)3,True
Al34Cr5Si11,True
Al34V5Ge11,True
Al35Fe7Cu8,False
Al35Fe7Ni8,True
Al35Fe8Ni7,True
Al36(FeNi)7,True
Al39Co5Ge6,True
Al39Fe5Ge6,True
Al3CrSi,False
Al3Cu,False
Al3Cu2,False
Al3Fe80P17,True
Al3VGe,False
Al41Fe2Ni7,False
Al42Fe3Ni5,False
Al42Fe7Si,False
Al42FeCo7,False
Al42FeNi7,False
Al43Co7,False
Al43CoNi6,False
Al43Cr7,False
Al43Fe2Co5,False
Al43Fe2Ni5,False
Al43Fe3Co4,False
Al43Fe3Ni4,False
Al43Fe4Co3,False
Al43Fe4Ni3,False
Al43Fe5Co2,False
Al43Fe5Ni2,False
Al43Fe6Ni,False
Al43Fe6Si,False
Al43FeCo6,True
Al43FeNi6,True
Al43Ni7,False
Al44(CoNi)3,False
Al44(FeCo)3,False
Al44(FeNi)3,False
Al44Co5Ni,False
Al44CoNi5,False
Al44Cr5Si,False
Al44Fe5Co,False
Al44Fe5Ni,False
Al44Fe5Si,False
Al44FeCo5,False
Al44FeNi5,False
Al45Co2Ni3,False
Al45Co3Ni2,False
Al45Co4Ni,False
Al45CoNi4,False
Al45Fe2Co3,False
Al45Fe2Ni3,False
Al45Fe3Co2,False
Al45Fe3Ni2,False
Al45Fe4Co,False
Al45Fe4Ni,False
Al45Fe4Si,False
Al45FeCo4,False
Al45FeNi4,False
Al46Co3Ni,False
Al46CoNi3,False
Al46Fe3Co,False
Al46Fe3Ni,False
Al46FeCo3,False
Al46FeNi3,False
Al47Co2Ni,False
Al47Co3,False
Al47CoNi2,False
Al47Cr3,False
Al47Fe2Co,False
Al47Fe2Ni,False
Al47Fe3,False
Al47FeCo2,False
Al47FeNi2,False
Al47Ni3,False
Al48CoNi,False
Al48FeCo,False
Al48FeNi,False
Al49Co,False
Al49Co10Si41,True
Al49Fe,False
Al49Ni,False
Al4Co29B17,True
Al4Co31B15,True
Al4Co33B13,True
Al4Co35B11,True
Al4Co37B9,True
Al4Co39B7,False
Al4Co41B5,False
Al4Cr,False
Al4Cu,False
Al4Fe35B11,True
Al4Fe37B9,True
Al4Fe39B7,True
Al4Fe41B5,False
Al4Ni,False
Al4Ni25B21,True
Al4Ni27B19,True
Al4Ni29B17,True
Al4Ni31B15,True
Al4Ni33B13,True
Al4Ni35B11,True
Al4Ni37B9,True
Al52Co23Si25,True
Al52Fe23Ge25,True
Al52Fe23Si25,True
Al52Si25Ni23,True
Al53Si16Mo31,True
Al57Co18Ge25,True
Al57Cr23Si20,False
Al57Cr28Si15,False
Al57Fe27Ni16,False
Al57V18Ge25,True
Al58Cr17Si25,True
Al59Cr19Si22,False
Al59Ni10Ge31,True
Al5Fe2Cu3,False
Al5V2Ge3,False
Al5VCu4,False
Al5VGe4,False
Al6(Co3B)11,True
Al6(Fe3B)11,True
Al6(Ni3B)11,True
Al61(Cr7Si6)3,False
Al61Cr10Ge29,True
Al62(CrSi)19,False
Al62.5Fe12.5Cu25,False
Al62Fe17Cu21,False
Al62Ni13Ge25,True
Al63Cr15Si22,False
Al63Cr19Si18,False
Al63Fe12Si25,True
Al63Si6Mo31,True
Al64Fe13Cu23,False
Al65(Fe3Ni2)7,False
Al65Si17.5Ni17.5,True
Al65Si19Ni16,True
Al66.5Si18.5Ni15,True
Al67(Fe7Ni4)3,False
Al67.5Si17.5Ni15,True
Al67V13Cu20,True
Al68Cr15Si17,False
Al69Co6Ge25,True
Al69Fe13Cu18,False
Al69Fe6Ge25,True
Al69Ni6Ge25,True
Al69V6Ge25,True
Al6Co25B19,True
Al6Co27B17,True
Al6Co29B15,True
Al6Co31B13,True
Al6Co35B9,True
Al6Co37B7,False
Al6Co39B5,False
Al6Co41B3,False
Al6Co9B10,True
Al6Cr3Si,False
Al6CrGe3,True
Al6CrSi3,True
Al6Fe37B7,True
Al6Fe39B5,False
Al6Fe41B3,False
Al6Ni27B17,True
Al6Ni29B15,True
Al6Ni31B13,True
Al6Ni35B9,True
Al6Ni37B7,False
Al6NiGe3,True
Al6VCu3,True
Al6VGe3,True
Al70Si17Ni13,True
Al71Co4Si25,True
Al71Cr4Si25,True
Al71Fe15Cu14,True
Al71Si25Ni4,True
Al72Fe13Ni15,False
Al73Fe13Cu14,False
Al75Fe14Ni11,True
Al77V3Cu20,False
Al78Fe7Cu15,False
Al79(FeNi2)7,True
Al79Si11Ni10,True
Al7Cr2Si,False
Al7CrSi2,False
Al7Cu3,False
Al7Fe2Ni,True
Al7Ni18,False
Al7Ni2Mo,True
Al7Ni3,False
Al7VCu2,True
Al7VGe2,False
Al8(Co11B3)3,True
Al8(Co5B)7,True
Al8(Co9B5)3,True
Al8(Fe11B3)3,True
Al8(Fe5B)7,True
Al8(Ni11B3)3,True
Al8(Ni5B)7,False
Al8(Ni9B5)3,True
Al81Cr19,False
Al82(Fe5Ni)3,True
Al83Cr17,False
Al83Fe3Ni14,False
Al84Fe3Ni13,False
Al85(FeNi4)3,False
Al85(Ni4Mo)3,True
